,movie,year,imdb,metascore,votes,n_imdb
1977,Perfect Sense,2011,7.1,55,45633,71.0
1978,Take Me Home Tonight,2011,6.3,42,45584,63.0
1979,The Dilemma,2011,5.3,46,45337,53.0
1980,Gnomeo & Juliet,2011,6.0,53,44753,60.0
1981,Grave Encounters,2011,6.1,33,43149,61.0
1982,Don 2,2011,7.1,49,42372,71.0
1983,Martha Marcy May Marlene,2011,6.9,76,42299,69.0
1984,The Beaver,2011,6.7,60,42057,67.0
1985,Jin ling shi san chai,2011,7.6,46,41233,76.0
1986,Seeking Justice,2011,6.2,38,40419,62.0
1987,Footloose,2011,5.9,58,39603,59.0
1988,Hobo with a Shotgun,2011,6.1,55,39018,61.0
1989,Arthur Christmas,2011,7.1,69,38808,71.0
1990,Soul Surfer,2011,7.1,53,37677,71.0
1991,Friends with Kids,2011,6.2,55,37391,62.0
1992,Kill the Irishman,2011,7.1,50,37263,71.0
1993,The Big Year,2011,6.2,53,36565,62.0
1994,Trespass,2011,5.3,37,36165,53.0
1995,Anonymous,2011,6.9,50,35759,69.0
1996,Ironclad,2011,6.2,42,35754,62.0
1997,Monte Carlo,2011,5.8,43,35120,58.0
1998,Happy Feet Two,2011,5.9,50,34487,59.0
1999,Cedar Rapids,2011,6.3,70,33416,63.0
2000,Ra.One,2011,4.8,60,32889,48.0
2001,The Hunter,2011,6.8,63,32235,68.0
2002,In the Land of Blood and Honey,2011,4.4,56,31906,44.0
2003,The Divide,2011,5.8,28,31673,58.0
2004,The Dark Knight Rises,2012,8.5,78,1231469,85.0
2005,The Avengers,2012,8.1,69,1050930,81.0
2006,Django Unchained,2012,8.4,81,1047846,84.0
2007,The Hunger Games,2012,7.2,68,739118,72.0
2008,The Hobbit: An Unexpected Journey,2012,7.9,58,672372,79.0
2009,Silver Linings Playbook,2012,7.8,81,567338,78.0
2010,Skyfall,2012,7.8,81,549847,78.0
2011,Ted,2012,7.0,62,497168,70.0
2012,Prometheus,2012,7.0,65,492978,70.0
2013,Argo,2012,7.7,86,484194,77.0
2014,The Amazing Spider-Man,2012,7.0,66,477215,70.0
2015,Life of Pi,2012,7.9,79,474448,79.0
2016,Looper,2012,7.4,84,455014,74.0
2017,21 Jump Street,2012,7.2,69,434831,72.0
2018,The Perks of Being a Wallflower,2012,8.0,67,379994,80.0
2019,Cloud Atlas,2012,7.5,55,300210,75.0
2020,The Cabin in the Woods,2012,7.0,72,297824,70.0
2021,Brave,2012,7.2,69,296335,72.0
2022,Wreck-It Ralph,2012,7.8,72,292823,78.0
2023,Men in Black 3,2012,6.8,58,279668,68.0
2024,Flight,2012,7.3,76,277626,73.0
2025,Les Misérables,2012,7.6,63,258884,76.0
2026,The Expendables 2,2012,6.6,51,258624,66.0
2027,Moonrise Kingdom,2012,7.8,84,256349,78.0
2028,Jack Reacher,2012,7.0,50,252836,70.0
2029,Taken 2,2012,6.3,45,251660,63.0
2030,The Bourne Legacy,2012,6.7,61,246770,67.0
2031,Snow White and the Huntsman,2012,6.1,57,240822,61.0
2032,Pitch Perfect,2012,7.2,66,228236,72.0
2033,Zero Dark Thirty,2012,7.4,95,227830,74.0
2034,The Dictator,2012,6.4,58,226666,64.0
2035,John Carter,2012,6.6,51,221707,66.0
2036,Dredd,2012,7.1,59,214997,71.0
2037,Chronicle,2012,7.1,69,214057,71.0
2038,Total Recall,2012,6.3,43,211988,63.0
2039,Battleship,2012,5.8,41,211265,58.0
2040,Dark Shadows,2012,6.2,55,210605,62.0
2041,Lincoln,2012,7.4,86,208613,74.0
2042,The Place Beyond the Pines,2012,7.3,68,201925,73.0
2043,Seven Psychopaths,2012,7.2,66,197869,72.0
2044,Lawless,2012,7.3,58,196390,73.0
2045,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,195341,55.0
2046,Jagten,2012,8.3,76,194891,83.0
2047,End of Watch,2012,7.7,68,193521,77.0
2048,American Reunion,2012,6.7,49,179214,67.0
2049,Hotel Transylvania,2012,7.1,47,177603,71.0
2050,Safe House,2012,6.8,52,175432,68.0
2051,Sinister,2012,6.8,53,173406,68.0
2052,Project X,2012,6.7,48,164832,67.0
2053,Wrath of the Titans,2012,5.8,37,160053,58.0
2054,The Impossible,2012,7.6,73,157564,76.0
2055,The Vow,2012,6.8,43,157227,68.0
2056,Ice Age: Continental Drift,2012,6.6,49,155869,66.0
2057,This Means War,2012,6.3,31,155199,63.0
2058,The Woman in Black,2012,6.4,62,151048,64.0
2059,Mud,2012,7.4,76,143811,74.0
2060,Abraham Lincoln: Vampire Hunter,2012,5.9,42,133960,59.0
2061,Rise of the Guardians,2012,7.3,57,131704,73.0
2062,Man on a Ledge,2012,6.6,40,129738,66.0
2063,Madagascar 3: Europe's Most Wanted,2012,6.9,60,128071,69.0
2064,Underworld Awakening,2012,6.4,39,128017,64.0
2065,Killing Them Softly,2012,6.2,64,116586,62.0
2066,Resident Evil: Retribution,2012,5.4,39,115063,54.0
2067,Spring Breakers,2012,5.3,63,114879,53.0
2068,Magic Mike,2012,6.1,72,114274,61.0
2069,The Master,2012,7.1,86,113753,71.0
2070,The Campaign,2012,6.2,50,111024,62.0
2071,This Is 40,2012,6.2,59,108596,62.0
2072,The Watch,2012,5.7,36,108528,57.0
2073,Savages,2012,6.5,59,108402,65.0
2074,Safety Not Guaranteed,2012,7.0,72,105503,70.0
2075,Contraband,2012,6.5,51,105334,65.0
2076,Premium Rush,2012,6.5,66,99215,65.0
2077,Seeking a Friend for the End of the World,2012,6.7,59,93592,67.0
2078,Safe,2012,6.5,55,88618,65.0
2079,Lockout,2012,6.1,48,84944,61.0
2080,The Lucky One,2012,6.5,39,83633,65.0
2081,Ruby Sparks,2012,7.2,67,83406,72.0
2082,The Lorax,2012,6.5,46,82321,65.0
2083,The Five-Year Engagement,2012,6.2,62,82260,62.0
2084,Frankenweenie,2012,7.0,74,79586,70.0
2085,ParaNorman,2012,7.0,72,78396,70.0
2086,Here Comes the Boom,2012,6.4,40,77058,64.0
2087,Anna Karenina,2012,6.6,63,75827,66.0
2088,The Raven,2012,6.4,44,75647,64.0
2089,Amour,2012,7.9,94,75594,79.0
2090,That's My Boy,2012,5.6,31,74943,56.0
2091,Mirror Mirror,2012,5.6,46,73941,56.0
2092,Beasts of the Southern Wild,2012,7.3,86,73249,73.0
2093,To Rome with Love,2012,6.3,54,72555,63.0
2094,Journey 2: The Mysterious Island,2012,5.8,41,72320,58.0
2095,Stuck in Love,2012,7.3,49,70861,73.0
2096,Disconnect,2012,7.6,64,65066,76.0
2097,Red Dawn,2012,5.4,31,64885,54.0
2098,Rock of Ages,2012,5.9,47,64836,59.0
2099,Wanderlust,2012,5.6,53,64697,56.0
2100,The Words,2012,7.1,37,63710,71.0
2101,Hitchcock,2012,6.8,55,63431,68.0
2102,Upside Down,2012,6.4,45,61779,64.0
2103,House at the End of the Street,2012,5.6,31,61417,56.0
2104,What to Expect When You're Expecting,2012,5.7,41,60376,57.0
2105,Act of Valor,2012,6.5,40,60215,65.0
2106,The Iceman,2012,6.9,60,59191,69.0
2107,The Man with the Iron Fists,2012,5.4,51,55221,54.0
2108,Robot & Frank,2012,7.1,67,54961,71.0
2109,The First Time,2012,6.9,55,54552,69.0
2110,Gangs of Wasseypur,2012,8.3,89,53987,83.0
2111,Paranormal Activity 4,2012,4.6,40,53683,46.0
2112,Rust and Bone,2012,7.5,73,52919,75.0
2113,Searching for Sugar Man,2012,8.2,79,52556,82.0
2114,Silent Hill: Revelation,2012,5.0,16,52354,50.0
2115,Red Lights,2012,6.2,36,51015,62.0
2116,Trouble with the Curve,2012,6.8,58,50897,68.0
2117,The Possession,2012,5.9,45,49600,59.0
2118,Frances Ha,2012,7.4,82,48627,74.0
2119,Step Up Revolution,2012,6.5,43,47743,65.0
2120,V/H/S,2012,5.8,55,47588,58.0
2121,Stand Up Guys,2012,6.5,41,47166,65.0
2122,Arbitrage,2012,6.6,73,43674,66.0
2123,Bullet to the Head,2012,5.7,48,41185,57.0
2124,The Odd Life of Timothy Green,2012,6.6,47,39448,66.0
2125,Bachelorette,2012,5.3,53,39357,53.0
2126,Cosmopolis,2012,5.0,58,39224,50.0
2127,Stolen,2012,5.5,43,38619,55.0
2128,The Collection,2012,6.1,38,38077,61.0
2129,The Imposter,2012,7.5,77,37758,75.0
2130,The Sessions,2012,7.2,79,37617,72.0
2131,Kon-Tiki,2012,7.2,62,37273,72.0
2132,A Royal Affair,2012,7.6,73,36546,76.0
2133,Think Like a Man,2012,6.6,51,36469,66.0
2134,Gone,2012,5.9,36,36332,59.0
2135,Hope Springs,2012,6.3,65,36056,63.0
2136,People Like Us,2012,7.1,49,36055,71.0
2137,One for the Money,2012,5.3,22,35806,53.0
2138,On the Road,2012,6.1,56,35130,61.0
2139,Byzantium,2012,6.5,66,34263,65.0
2140,Deadfall,2012,6.3,52,33999,63.0
2141,Piranha 3DD,2012,3.8,24,33634,38.0
2142,The Tall Man,2012,5.9,52,33256,59.0
2143,A Thousand Words,2012,5.9,26,32883,59.0
2144,The Broken Circle Breakdown,2012,7.8,71,32296,78.0
2145,Holy Motors,2012,7.1,84,32285,71.0
2146,Promised Land,2012,6.6,55,31922,66.0
2147,John Dies at the End,2012,6.4,53,31716,64.0
2148,The Guilt Trip,2012,5.8,50,31670,58.0
2149,Talaash,2012,7.3,65,31645,73.0
2150,The Devil Inside,2012,4.2,18,31562,42.0
2151,Liberal Arts,2012,6.7,55,30989,67.0
2152,Hit and Run,2012,6.1,50,30591,61.0
2153,The Paperboy,2012,5.8,45,30579,58.0
2154,The Cold Light of Day,2012,4.9,22,30387,49.0
2155,Red Tails,2012,5.9,46,29796,59.0
2156,Alex Cross,2012,5.1,30,29405,51.0
2157,Maniac,2012,6.1,47,29167,61.0
2158,[REC] 3: Genesis,2012,5.0,45,27662,50.0
2159,The Company You Keep,2012,6.4,57,27529,64.0
2160,The Act of Killing,2012,8.2,89,26977,82.0
2161,Chasing Mavericks,2012,7.2,45,26586,72.0
2162,The Three Stooges,2012,5.1,56,26529,51.0
2163,Would You Rather,2012,5.8,20,26245,58.0
2164,Compliance,2012,6.4,68,26164,64.0
2165,Celeste & Jesse Forever,2012,6.6,59,25678,66.0
2166,Playing for Keeps,2012,5.7,27,25369,57.0
2167,Erased,2012,6.1,34,24746,61.0
2168,Dans la maison,2012,7.4,72,24213,74.0
2169,The Wolf of Wall Street,2013,8.2,75,873375,82.0
2170,Gravity,2013,7.8,96,626343,78.0
2171,Iron Man Three,2013,7.2,62,595278,72.0
2172,Man of Steel,2013,7.1,55,582601,71.0
2173,The Hunger Games: Catching Fire,2013,7.6,76,528536,76.0
2174,The Hobbit: The Desolation of Smaug,2013,7.9,66,517176,79.0
2175,World War Z,2013,7.0,63,498419,70.0
2176,Now You See Me,2013,7.3,50,495857,73.0
2177,12 Years a Slave,2013,8.1,96,491079,81.0
2178,Frozen,2013,7.5,74,455345,75.0
2179,Thor: The Dark World,2013,7.0,54,447187,70.0
2180,Prisoners,2013,8.1,74,436096,81.0
2181,Star Trek Into Darkness,2013,7.8,72,419658,78.0
2182,Oblivion,2013,7.0,54,412688,70.0
2183,Pacific Rim,2013,7.0,64,402518,70.0
2184,Her,2013,8.0,90,394332,80.0
2185,The Great Gatsby,2013,7.3,55,388511,73.0
2186,American Hustle,2013,7.3,90,381139,73.0
2187,Elysium,2013,6.6,61,361335,66.0
2188,The Wolverine,2013,6.7,60,358812,67.0
2189,Dallas Buyers Club,2013,8.0,84,355128,80.0
2190,Captain Phillips,2013,7.8,83,348263,78.0
2191,Rush,2013,8.1,75,342654,81.0
2192,We're the Millers,2013,7.0,44,336843,70.0
2193,The Conjuring,2013,7.5,68,333253,75.0
2194,This Is the End,2013,6.6,67,329730,66.0
2195,Furious 6,2013,7.1,61,320410,71.0
2196,Despicable Me 2,2013,7.4,62,307292,74.0
2197,Monsters University,2013,7.3,65,253906,73.0
2198,The Secret Life of Walter Mitty,2013,7.3,54,251245,73.0
2199,The Hangover Part III,2013,5.9,30,241039,59.0
2200,About Time,2013,7.8,55,223525,78.0
2201,Lone Survivor,2013,7.5,60,220735,75.0
2202,Kick-Ass 2,2013,6.6,41,216245,66.0
2203,Olympus Has Fallen,2013,6.5,41,216148,65.0
2204,The World's End,2013,7.0,81,201747,70.0
2205,Snowpiercer,2013,7.0,84,201253,70.0
2206,Don Jon,2013,6.6,66,200947,66.0
2207,Ender's Game,2013,6.7,51,195173,67.0
2208,Warm Bodies,2013,6.9,59,194408,69.0
2209,The Lone Ranger,2013,6.5,37,192143,65.0
2210,Escape Plan,2013,6.7,49,189199,67.0
2211,Gangster Squad,2013,6.7,40,182277,67.0
2212,Oz the Great and Powerful,2013,6.3,44,182130,63.0
2213,White House Down,2013,6.4,52,174302,64.0
2214,A Good Day to Die Hard,2013,5.3,28,173711,53.0
2215,Pain & Gain,2013,6.5,45,169847,65.0
2216,Hansel & Gretel: Witch Hunters,2013,6.1,21,168730,61.0
2217,After Earth,2013,4.9,33,167321,49.0
2218,The Internship,2013,6.3,42,167212,63.0
2219,2 Guns,2013,6.7,55,166553,67.0
2220,Blue Jasmine,2013,7.3,78,161618,73.0
2221,The Croods,2013,7.2,55,161036,72.0
2222,The Purge,2013,5.7,41,155852,57.0
2223,Side Effects,2013,7.1,75,155525,71.0
2224,G.I. Joe: Retaliation,2013,5.8,41,152914,58.0
2225,Mama,2013,6.2,57,143253,62.0
2226,The Heat,2013,6.6,60,140830,66.0
2227,Anchorman 2: The Legend Continues,2013,6.3,61,140076,63.0
2228,RED 2,2013,6.7,47,134145,67.0
2229,Evil Dead,2013,6.5,57,133908,65.0
2230,Riddick,2013,6.4,49,132822,64.0
2231,Saving Mr. Banks,2013,7.5,65,126366,75.0
2232,47 Ronin,2013,6.3,28,124112,63.0
2233,The Way Way Back,2013,7.4,68,122446,74.0
2234,Insidious: Chapter 2,2013,6.6,40,120069,66.0
2235,The Last Stand,2013,6.4,54,119292,64.0
2236,The Spectacular Now,2013,7.1,82,116876,71.0
2237,Grown Ups 2,2013,5.4,19,115369,54.0
2238,Carrie,2013,5.9,53,113886,59.0
2239,Enemy,2013,6.9,61,113369,69.0
2240,Begin Again,2013,7.4,62,112958,74.0
2241,The Mortal Instruments: City of Bones,2013,5.9,33,112864,59.0
2242,Last Vegas,2013,6.6,48,112647,66.0
2243,Jack the Giant Slayer,2013,6.3,51,112294,63.0
2244,The Book Thief,2013,7.6,53,107125,76.0
2245,Inside Llewyn Davis,2013,7.4,92,106789,74.0
2246,Before Midnight,2013,7.9,94,105517,79.0
2247,Blue Is the Warmest Color,2013,7.8,88,104324,78.0
2248,Identity Thief,2013,5.7,35,103555,57.0
2249,Locke,2013,7.1,81,101844,71.0
2250,Trance,2013,7.0,61,97775,70.0
2251,R.I.P.D.,2013,5.6,25,97482,56.0
2252,The Host,2013,5.9,35,97355,59.0
2253,Nebraska,2013,7.7,86,96593,77.0
2254,Parker,2013,6.2,42,96297,62.0
2255,Under the Skin,2013,6.3,78,95744,63.0
2256,The Call,2013,6.7,51,93851,67.0
2257,The Butler,2013,7.2,66,93785,72.0
2258,Oculus,2013,6.5,61,93620,65.0
2259,The Family,2013,6.3,42,93551,63.0
2260,Percy Jackson: Sea of Monsters,2013,5.9,39,92388,59.0
2261,Nymphomaniac: Vol. I,2013,7.0,64,91455,70.0
2262,Only God Forgives,2013,5.7,37,90386,57.0
2263,Epic,2013,6.7,52,89680,67.0
2264,Stoker,2013,6.8,58,89513,68.0
2265,Out of the Furnace,2013,6.8,63,89373,68.0
2266,Homefront,2013,6.5,40,88956,65.0
2267,Safe Haven,2013,6.7,34,85536,67.0
2268,The Counselor,2013,5.3,48,85380,53.0
2269,Movie 43,2013,4.3,18,84204,43.0
2270,Filth,2013,7.1,56,82156,71.0
2271,Jobs,2013,5.9,44,82048,59.0
2272,Philomena,2013,7.6,77,81427,76.0
2273,Bad Grandpa,2013,6.6,54,80886,66.0
2274,The Best Offer,2013,7.8,49,78851,78.0
2275,August: Osage County,2013,7.2,58,72396,72.0
2276,Beautiful Creatures,2013,6.2,52,72271,62.0
2277,The Bling Ring,2013,5.6,66,71648,56.0
2278,Cloudy with a Chance of Meatballs 2,2013,6.5,59,70067,65.0
2279,42,2013,7.5,62,70046,75.0
2280,Only Lovers Left Alive,2013,7.3,79,69048,73.0
2281,Snitch,2013,6.5,51,68427,65.0
2282,Coherence,2013,7.2,65,67585,72.0
2283,Broken City,2013,6.2,49,66726,62.0
2284,Turbo,2013,6.5,58,66540,65.0
2285,Nymphomaniac: Vol. II,2013,6.7,60,66527,67.0
2286,The Kings of Summer,2013,7.2,61,66143,72.0
2287,Delivery Man,2013,6.4,44,64052,64.0
2288,21 & Over,2013,5.9,34,63894,59.0
2289,All Is Lost,2013,6.9,87,63471,69.0
2290,Machete Kills,2013,5.6,41,63045,56.0
2291,The Incredible Burt Wonderstone,2013,5.9,44,63040,59.0
2292,Short Term 12,2013,8.0,82,62884,80.0
2293,La grande bellezza,2013,7.7,86,61927,77.0
2294,Horns,2013,6.5,46,61584,65.0
2295,Dark Skies,2013,6.3,50,61105,63.0
2296,Fruitvale Station,2013,7.5,85,58896,75.0
2297,Dead Man Down,2013,6.5,39,57090,65.0
2298,Europa Report,2013,6.5,68,56926,65.0
2299,What If,2013,6.8,59,55884,68.0
2300,Redemption,2013,6.2,43,55493,62.0
2301,Old Boy,2013,5.8,49,55138,58.0
2302,Runner Runner,2013,5.6,36,54574,56.0
2303,Scary Movie 5,2013,3.5,11,53393,35.0
2304,Enough Said,2013,7.1,78,51682,71.0
2305,Blackfish,2013,8.1,83,50295,81.0
2306,Kaze tachinu,2013,7.8,83,49994,78.0
2307,Blue Ruin,2013,7.1,77,49847,71.0
2308,Grudge Match,2013,6.4,35,49373,64.0
2309,Drinking Buddies,2013,6.1,71,48876,61.0
2310,The Frozen Ground,2013,6.4,37,46470,64.0
2311,The East,2013,6.8,68,43971,68.0
2312,Bad Words,2013,6.7,57,40501,67.0
2313,The Big Wedding,2013,5.6,28,39903,56.0
2314,Chennai Express,2013,6.0,45,39819,60.0
2315,Ida,2013,7.4,91,39175,74.0
2316,Odd Thomas,2013,6.9,45,38966,69.0
2317,Joe,2013,6.9,74,38899,69.0
2318,The Double,2013,6.5,68,38868,65.0
2319,The Zero Theorem,2013,6.1,50,37720,61.0
2320,The Colony,2013,5.3,28,37220,53.0
2321,Planes,2013,5.8,39,36817,58.0
2322,A Haunted House,2013,5.1,20,36518,51.0
2323,Le passé,2013,7.8,85,36435,78.0
2324,Dhoom 3,2013,5.4,61,36425,54.0
2325,The Lunchbox,2013,7.8,76,35762,78.0
2326,Starred Up,2013,7.4,81,34930,74.0
2327,Labor Day,2013,6.9,52,34371,69.0
2328,Lovelace,2013,6.2,51,32874,62.0
2329,The Fifth Estate,2013,6.2,49,31926,62.0
2330,Interstellar,2014,8.6,74,1060637,86.0
2331,Guardians of the Galaxy,2014,8.1,76,767682,81.0
2332,Gone Girl,2014,8.1,79,642950,81.0
2333,X-Men: Days of Future Past,2014,8.0,74,556895,80.0
2334,Captain America: The Winter Soldier,2014,7.8,70,547667,78.0
2335,The Grand Budapest Hotel,2014,8.1,88,536206,81.0
2336,The Imitation Game,2014,8.1,73,536128,81.0
2337,Whiplash,2014,8.5,88,484811,85.0
2338,Edge of Tomorrow,2014,7.9,71,476420,79.0
2339,Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,88,444611,78.0
2340,Kingsman: The Secret Service,2014,7.7,58,444451,77.0
2341,The Hobbit: The Battle of the Five Armies,2014,7.4,59,389157,74.0
2342,Divergent,2014,6.7,48,364359,67.0
2343,American Sniper,2014,7.3,72,356186,73.0
2344,Lucy,2014,6.4,61,355447,64.0
2345,The Amazing Spider-Man 2,2014,6.7,53,344964,67.0
2346,Ex Machina,2014,7.7,78,344487,77.0
2347,Dawn of the Planet of the Apes,2014,7.6,79,340292,76.0
2348,The Maze Runner,2014,6.8,57,337998,68.0
2349,Nightcrawler,2014,7.9,76,336674,79.0
2350,John Wick,2014,7.3,68,335982,73.0
2351,Fury,2014,7.6,64,335002,76.0
2352,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,334730,67.0
2353,Godzilla,2014,6.4,62,319803,64.0
2354,Big Hero 6,2014,7.8,74,312278,78.0
2355,The Theory of Everything,2014,7.7,72,302360,77.0
2356,Boyhood,2014,7.9,100,288500,79.0
2357,22 Jump Street,2014,7.1,71,282645,71.0
2358,The Fault in Our Stars,2014,7.8,69,273605,78.0
2359,Maleficent,2014,7.0,56,270769,70.0
2360,The Lego Movie,2014,7.8,83,269256,78.0
2361,The Interview,2014,6.6,52,262985,66.0
2362,Transformers: Age of Extinction,2014,5.7,32,258747,57.0
2363,The Equalizer,2014,7.2,57,251128,72.0
2364,300: Rise of an Empire,2014,6.2,48,239389,62.0
2365,How to Train Your Dragon 2,2014,7.9,76,239315,79.0
2366,Neighbors,2014,6.3,68,238358,63.0
2367,Non-Stop,2014,7.0,56,213294,70.0
2368,Noah,2014,5.8,68,210654,58.0
2369,RoboCop,2014,6.2,52,191709,62.0
2370,Predestination,2014,7.5,69,189988,75.0
2371,Transcendence,2014,6.3,42,185785,63.0
2372,Teenage Mutant Ninja Turtles,2014,5.9,31,179518,59.0
2373,Chef,2014,7.3,68,153029,73.0
2374,Dracula Untold,2014,6.3,40,149711,63.0
2375,The Judge,2014,7.4,48,147724,74.0
2376,Taken 3,2014,6.0,26,145927,60.0
2377,A Million Ways to Die in the West,2014,6.1,44,145765,61.0
2378,Need for Speed,2014,6.5,39,144076,65.0
2379,It Follows,2014,6.9,83,139095,69.0
2380,The Expendables 3,2014,6.1,35,138672,61.0
2381,Exodus: Gods and Kings,2014,6.0,52,138135,60.0
2382,The Babadook,2014,6.8,86,134867,68.0
2383,Horrible Bosses 2,2014,6.3,40,126425,63.0
2384,Hercules,2014,6.0,47,123579,60.0
2385,Sin City: A Dame to Kill For,2014,6.5,46,123325,65.0
2386,The Drop,2014,7.1,69,117055,71.0
2387,Foxcatcher,2014,7.0,81,115164,70.0
2388,Unbroken,2014,7.2,59,114976,72.0
2389,Let's Be Cops,2014,6.5,30,113328,65.0
2390,Relatos salvajes,2014,8.1,77,112310,81.0
2391,The Other Woman,2014,6.0,39,111406,60.0
2392,Into the Woods,2014,6.0,69,110694,60.0
2393,The Monuments Men,2014,6.1,52,108583,61.0
2394,The Purge: Anarchy,2014,6.5,50,107461,65.0
2395,Dumb and Dumber To,2014,5.7,36,105079,57.0
2396,Jack Ryan: Shadow Recruit,2014,6.2,57,104249,62.0
2397,Still Alice,2014,7.5,72,98880,75.0
2398,Wild,2014,7.1,76,96406,71.0
2399,The Giver,2014,6.5,47,94474,65.0
2400,Blended,2014,6.5,31,94455,65.0
2401,A Walk Among the Tombstones,2014,6.5,57,94442,65.0
2402,If I Stay,2014,6.8,46,93128,68.0
2403,Annabelle,2014,5.4,37,92152,54.0
2404,The Raid 2,2014,8.0,71,92131,80.0
2405,Pompeii,2014,5.5,39,90806,55.0
2406,Sex Tape,2014,5.1,36,90455,51.0
2407,I Origins,2014,7.3,57,87291,73.0
2408,What We Do in the Shadows,2014,7.6,76,85720,76.0
2409,Ride Along,2014,6.2,41,83279,62.0
2410,That Awkward Moment,2014,6.2,36,82313,62.0
2411,"Love, Rosie",2014,7.2,44,81671,72.0
2412,St. Vincent,2014,7.3,64,81291,73.0
2413,Night at the Museum: Secret of the Tomb,2014,6.2,47,75771,62.0
2414,3 Days to Kill,2014,6.2,40,74046,62.0
2415,The Guest,2014,6.7,76,71748,67.0
2416,Inherent Vice,2014,6.7,81,70329,67.0
2417,"I, Frankenstein",2014,5.1,30,69821,51.0
2418,Selma,2014,7.5,89,68316,75.0
2419,Penguins of Madagascar,2014,6.7,53,65155,67.0
2420,Big Eyes,2014,7.0,62,64964,70.0
2421,Rio 2,2014,6.4,49,63480,64.0
2422,A Most Wanted Man,2014,6.8,73,61680,68.0
2423,Frank,2014,7.0,75,61040,70.0
2424,Seventh Son,2014,5.5,30,60401,55.0
2425,The Water Diviner,2014,7.1,50,59741,71.0
2426,The Hundred-Foot Journey,2014,7.3,55,59633,73.0
2427,This Is Where I Leave You,2014,6.6,44,58775,66.0
2428,Deliver Us from Evil,2014,6.2,40,57828,62.0
2429,Into the Storm,2014,5.8,44,56715,58.0
2430,"As Above, So Below",2014,6.2,38,55786,62.0
2431,Paddington,2014,7.2,77,55350,72.0
2432,Before I Go to Sleep,2014,6.3,41,55070,63.0
2433,The November Man,2014,6.3,38,54173,63.0
2434,The Gambler,2014,6.0,55,52909,60.0
2435,The Signal,2014,6.1,54,52366,61.0
2436,Magic in the Moonlight,2014,6.6,54,51900,66.0
2437,Mr. Peabody & Sherman,2014,6.9,59,51601,69.0
2438,A Most Violent Year,2014,7.0,79,51354,70.0
2439,Two Night Stand,2014,6.4,45,51351,64.0
2440,Unfriended,2014,5.6,59,51113,56.0
2441,The Book of Life,2014,7.3,67,50917,73.0
2442,Sabotage,2014,5.7,41,50359,57.0
2443,The Best of Me,2014,6.7,29,49683,67.0
2444,The Legend of Hercules,2014,4.2,22,47130,42.0
2445,Calvary,2014,7.4,77,46320,74.0
2446,Automata,2014,6.1,37,45746,61.0
2447,The Boxtrolls,2014,6.8,61,45644,68.0
2448,Vampire Academy,2014,5.6,31,44451,56.0
2449,Winter's Tale,2014,6.2,31,44394,62.0
2450,Walk of Shame,2014,6.0,25,43736,60.0
2451,Veronica Mars,2014,6.8,62,43618,68.0
2452,Citizenfour,2014,8.1,88,42487,81.0
2453,Draft Day,2014,6.8,54,42443,68.0
2454,The Cobbler,2014,5.8,23,41084,58.0
2455,Pride,2014,7.8,79,40118,78.0
2456,The Voices,2014,6.4,58,39984,64.0
2457,'71,2014,7.2,83,39733,72.0
2458,Stonehearst Asylum,2014,6.8,52,39417,68.0
2459,Tammy,2014,4.9,39,39367,49.0
2460,The Loft,2014,6.3,24,39230,63.0
2461,Ouija,2014,4.4,38,37955,44.0
2462,Million Dollar Arm,2014,7.0,56,37869,70.0
2463,Hector and the Search for Happiness,2014,7.0,29,36411,70.0
2464,"Deux jours, une nuit",2014,7.4,89,36295,74.0
2465,The Rover,2014,6.4,64,36288,64.0
2466,Kill the Messenger,2014,7.0,60,35667,70.0
2467,Leviathan,2014,7.6,92,35619,76.0
2468,Tusk,2014,5.4,55,34873,54.0
2469,While We're Young,2014,6.3,77,34411,63.0
2470,Brick Mansions,2014,5.7,40,34303,57.0
2471,Mommy,2014,8.1,74,34274,81.0
2472,God's Not Dead,2014,4.9,16,34259,49.0
2473,Laggies,2014,6.4,63,34149,64.0
2474,Endless Love,2014,6.3,30,33947,63.0
2475,The Inbetweeners 2,2014,6.4,55,33877,64.0
2476,Paranormal Activity: The Marked Ones,2014,5.0,42,33812,50.0
2477,The Skeleton Twins,2014,6.8,74,33790,68.0
2478,Song of the Sea,2014,8.1,85,33748,81.0
2479,Camp X-Ray,2014,7.0,54,32635,70.0
2480,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,32580,62.0
2481,Before We Go,2014,6.9,31,32166,69.0
2482,Time Lapse,2014,6.5,50,31797,65.0
2483,Wish I Was Here,2014,6.7,43,31786,67.0
2484,Maps to the Stars,2014,6.2,67,30844,62.0
2485,Cake,2014,6.4,49,29775,64.0
2486,Kis Uykusu,2014,8.2,88,28935,82.0
2487,Cold in July,2014,6.8,73,28285,68.0
2488,The Salvation,2014,6.8,64,28001,68.0
2489,Pawn Sacrifice,2014,7.0,65,27809,70.0
2490,Black Sea,2014,6.4,62,27757,64.0
2491,Annie,2014,5.3,33,27605,53.0
2492,Love & Mercy,2014,7.4,80,27572,74.0
2493,Step Up All In,2014,6.0,45,27415,60.0
2494,Left Behind,2014,3.1,12,27338,31.0
